OrderID,OrderDate,CustomerName,City,Product,Category,Quantity,UnitPrice,TotalAmount,PaymentMode,Rating
1230,2024-09-11,Karthik Iyer,Tirunelveli,Namkeen 200g,Snacks,3,532.10,"1,596.30",UPI,2
1142,2024-12-24,Suresh Sharma,Tirunelveli,Soap Pack of 4,Household,3,389.59,"1,168.77",Cash,3
1015,2024-01-27,Lakshmi Murugan,Salem,Detergent 1kg,Household,2,450.60,901.20,UPI,4
1384,2024-04-13,Manoj Murugan,Erode,Soft Drink 1.5L,Beverages,6,324.78,"1,948.68",Net Banking,4
1359,2024-05-09,Raja Nair,Tirunelveli,Tea Powder 250g,Beverages,9,471.72,"4,245.48",Net Banking,4
1012,2024-01-30,Anitha Iyer,Erode,Soft Drink 1.5L,Beverages,8,109.78,878.24,Cash,
1206,2024-03-01,Anitha Iyer,Vellore,Phenyl 1L,Household,8,123.66,989.28,Card,5
1371,2024-11-06,Divya Kumar,Unknown,Banana Chips 200g,Snacks,6,131.08,786.48,UPI,4
1060,2024-07-13,Meena Kumar,Unknown,Toor Dal 1kg,Grocery,10,51.77,517.70,UPI,5
1062,2024-11-26,Raja Raj,Vellore,Sunflower Oil 1L,Grocery,5,452.57,"2,262.85",Cash,3
1209,2024-09-16,Suresh Raj,Trichy,Juice 1L,Beverages,9,550.71,"4,956.39",Unknown,4
1010,2024-07-04,Sangeetha Nair,Erode,Ghee 500ml,Dairy,2,402.21,804.42,Cash,1
1355,2024-03-06,Karthik Sundaram,Tirunelveli,Phenyl 1L,Household,10,553.86,"5,538.60",UPI,5
1039,2024-08-14,Suresh Pillai,Chennai,Biscuit Pack,Snacks,2,582.71,"1,165.42",Cash,
1366,2024-10-27,Raja Nair,Erode,Dishwash Liquid 500ml,Household,5,55.17,275.85,Unknown,4
1261,2024-01-12,Priya Reddy,Madurai,Milk 1L,Dairy,9,87.18,784.62,Cash,4
1194,2024-10-24,Lakshmi Murugan,Salem,Ghee 500ml,Dairy,10,514.31,"5,143.10",Net Banking,
1218,2024-05-18,Senthil Nair,Madurai,Coffee Powder 200g,Beverages,10,254.77,"2,547.70",Card,5
1005,2024-02-26,Vijay Murugan,Erode,Juice 1L,Beverages,9,332.61,"2,993.49",Net Banking,4
1201,2024-05-12,Sangeetha Reddy,Unknown,Murukku 250g,Snacks,3,395.41,"1,186.23",UPI,3
1137,2024-02-02,Kavya Iyer,Unknown,Milk 1L,Dairy,5,116.84,584.20,Card,2
