OrderID,OrderDate,CustomerName,City,Product,Category,Quantity,UnitPrice,TotalAmount,PaymentMode,Rating
1230,09/11/2024,Karthik Iyer,tirunelveli,Namkeen 200g,Snacks,3,532.1,1596.3,Upi,2
1142,2024-12-24,Suresh Sharma,tirunelveli,Soap Pack of 4,Household,3,389.59,1168.77,Cash ,3
1082,2024-01-24,Arun Iyer,Combatore,Phenyl 1L,Household,-5,376.37,1881.85,upi,5
1015,27-01-2024,Lakshmi Murugan,SALEM,Detergent 1kg,Household,2,450.6,901.2,Upi,4
1384,13/04/24,Manoj Murugan,ERODE,Soft Drink 1.5L,Beverages,6,324.78,1948.68,netbanking,4
1359,05/09/24,Raja Nair,Trunelveli,Tea Powder 250g,Beverages,9,471.72,4245.48,netbanking,4
1012,30-01-2024,Anitha Iyer,erode,Soft Drink 1.5L,Beverages,8,109.78,878.24,CASH,
1206,03/01/2024,Anitha Iyer,Vellore,Phenyl 1L,Household,8,123.66,989.28,CARD,5
1371,11/06/2024,Divya Kumar,,Banana Chips 200g,Snacks,6,131.08,786.48,upi,4
1060,07/13/2024,Meena Kumar,,Toor Dal 1kg,Grocery,10,51.77,517.7,Upi,5
1062,11/26/2024,Raja Raj,vellore,Sunflower Oil 1L,Grocery,5,452.57,2262.85,Cash,3
1209,16-09-2024,Suresh Raj,Trichy,Juice 1L,Beverages,9,550.71,4956.39,,4
1010,07/04/24,Sangeetha Nair,Erode,Ghee 500ml,Dairy,2,402.21,804.42,Cash,1
1355,03-06-2024,Karthik Sundaram,tirunelveli,Phenyl 1L,Household,10,553.86,5538.6, UPI,5
1039,14-08-2024,Suresh Pillai,Chennai ,Biscuit Pack,Snacks,2,582.71,1165.42,Cash ,
1366,27-10-2024,Raja Nair,ERODE,Dishwash Liquid 500ml,Household,5,55.17,275.85,,4
1261,2024-01-12,Priya Reddy,Madurai,Milk 1L,Dairy,9,₹87.18,784.62,CASH,4
1194,24/10/24,Lakshmi Murugan,Salem,Ghee 500ml,Dairy,10,514.31,5143.1,Net banking,
1218,18/05/24,Senthil Nair,MADURAI,Coffee Powder 200g,Beverages,10,254.77,2547.7,Card,5
1005,02/26/2024,Vijay Murugan,Erode,Juice 1L,Beverages,9,332.61,2993.49,netbanking,4
1201,05/12/2024,Sangeetha Reddy,,Murukku 250g,Snacks,3,395.41,1186.23,upi,3
1137,2024-02-02,Kavya Iyer,,Milk 1L,Dairy,5,116.84,584.2,CARD,2
1040,11/27/2024,  Sangeetha Raj  ,salem,Dishwash Liquid 500ml,Household,10,483.6,4836.0,Cash ,2
1320,2024-11-10,Bala Kumar,Chennai ,Soft Drink 1.5L,Beverages,7,350.81,2455.67,Net Banking,4
1077,02/09/2024,Ramesh Sharma,Madurai,Soft Drink 1.5L,Beverages,8,40.18,410.97,Net banking,1
1310,19-02-2024,  Lakshmi Raj  ,,Curd 500g,Dairy,-8,459.25,2233.12,Cash ,2
1292,15-09-2024,  Manoj Sundaram  ,,Soap Pack of 4,Household,7,446.98,3128.86,upi,1
1186,2024-04-09,Anitha Pillai,vellore,Murukku 250g,Snacks,1,27.52,27.52,Net Banking,5
1207,10-02-2024,Senthil Iyer,Trichy ,Milk 1L,Dairy,1,₹113.23,113.23,cash,4
1095,04/04/2024,Manoj Sundaram,MADURAI,Toor Dal 1kg,Grocery,1,447.24,447.24,upi,4
1270,05/11/24,  Ramesh Murugan  ,madurai,Biscuit Pack,Snacks,1,103.52,103.52,UPI,3
1200,03/01/2024,Kavya Reddy,vellore,Coffee Powder 200g,Beverages,10,23.83,238.3,UPI,3
1087,2024-03-12,Nithya Pillai,tirunelveli,Sugar 1kg,Grocery,4,₹369.43,1477.72,cash,5
1259,2024-01-17,Vijay Kumar,coimbatore,Mixture 500g,Snacks,7,383.38,2683.66,Net Banking,2
1149,11/04/2024,Divya Sharma,Madurai,Soft Drink 1.5L,Beverages,6,550.11,3962.64,,4
1278,08/02/24,Swathi Krishnan,Coimbatore,Rice 5kg,Grocery,2,430.68,861.36, UPI,3
1343,11-02-2024,  Meena Sharma  ,Trichy ,Paneer 200g,Dairy,2,552.04,1104.08,Net Banking,4
1238,21-06-2024,Bala Murugan,Trunelveli,Detergent 1kg,Household,4,108.85,435.4,Net banking,
1014,2024-10-05,Karthik Reddy,Tirunelveli,Biscuit Pack,Snacks,10,597.74,5977.4,Card,5
1234,10/15/2024,Deepa Iyer,vellore,Ghee 500ml,Dairy,8,561.44,4491.52,card,4
1167,2024-12-14,Kavya Iyer,ERODE,Ghee 500ml,Dairy,3,507.57,1522.71,Cash ,3
1227,02/15/2024,Divya Nair,Trichy,Salt 1kg,Grocery,3,480.75,1442.25,UPI,1
1114,16-07-2024,Kavya Sundaram,salem,Rice 5kg,Grocery,2,128.69,257.38,Net Banking,
1226,06/01/2024,Manoj Raj,chennai,Coffee Powder 200g,Beverages,4,294.24,1176.96,Card,1
1220,15/06/24,Swathi Murugan,,Detergent 1kg,Household,7,199.43,1396.01,upi,3
1072,05-04-2024,Divya Nair,,Paneer 200g,Dairy,10,285.13,2851.3,cash,3
1075,05-08-2024,Lakshmi Pillai,tirunelveli,Salt 1kg,Grocery,7,451.12,3157.84, UPI,4
1353,2024-09-21,Deepa Raj,SALEM,Soft Drink 1.5L,Beverages,7,229.17,1604.19,Net Banking,3
1369,31-08-2024,Senthil Sundaram,Tiruchirapalli,Biscuit Pack,Snacks,-8,178.35,1426.8, UPI,
1265,11-10-2024,Karthik Raj,erode,Mixture 500g,Snacks,6,297.62,1785.72,CARD,3
1315,04/28/2024,Bala Sharma,SALEM,Juice 1L,Beverages,7,226.54,1585.78,Net banking,5
1103,12/28/2024,Priya Pillai,vellore,Dishwash Liquid 500ml,Household,7,475.77,3330.39,Upi,4
1092,21/02/24,Vijay Reddy,tirunelveli,Murukku 250g,Snacks,9,177.26,1595.34,cash,
1248,19-10-2024,Deepa Reddy,Trichy,Curd 500g,Dairy,8,418.96,3351.68,netbanking,1
1293,26/12/24,Sangeetha Krishnan,Coimbatore ,Juice 1L,Beverages,1,422.03,422.03,card,4
1033,22-02-2024,Arun Sundaram,Salem,Soft Drink 1.5L,Beverages,3,195.32,585.96,Cash,3
1108,06-09-2024,Anitha Murugan,Chennai,Salt 1kg,Grocery,4,59.42,237.68,netbanking,1
1284,11/08/2024,Priya Murugan,Trichy,Dishwash Liquid 500ml,Household,1,₹293.31,293.31,UPI,3
1202,29-10-2024,Arun Reddy,Salem,Tea Powder 250g,Beverages,8,523.04,4184.32,upi,3
1313,05/02/24,Meena Iyer,Trunelveli,Butter 100g,Dairy,2,210.31,420.62,CARD,4
1147,13/06/24,Vijay Nair,Chennai,Soap Pack of 4,Household,4,392.74,1570.96,Cash ,5
1349,03/07/2024,Manoj Murugan,Trunelveli,Dishwash Liquid 500ml,Household,7,576.69,4036.83,card,3
1056,07/09/2024,Prakash Nair,tirunelveli,Butter 100g,Dairy,6,267.52,1605.12, UPI,
1019,11-08-2024,Vijay Murugan,Chennai,Phenyl 1L,Household,5,42.19,210.95,card,3
1083,06/23/2024,Nithya Sundaram,Chennai ,Soap Pack of 4,Household,5,300.11,1500.55,card,2
1232,04-06-2024,Arun Reddy,Coimbatore,Ghee 500ml,Dairy,2,291.47,582.94,,1
1291,10/10/2024,Ramesh Raj,CHENNAI,Salt 1kg,Grocery,8,262.57,2100.56,CARD,3
1160,21/12/24,Bala Raj,Coimbatore,Ghee 500ml,Dairy,9,530.48,4774.32,Net banking,
1299,12/07/2024,Vijay Krishnan,Salem,Dishwash Liquid 500ml,Household,5,466.45,1989.69,upi,3
1139,2024-08-26,Senthil Krishnan,Vellore,Milk 1L,Dairy,6,177.33,1063.98,cash,4
1045,10/25/2024,Meena Pillai,Tirunelveli,Rice 5kg,Grocery,3,161.63,484.89,upi,
1133,25-05-2024,Lakshmi Murugan,Trichy,Soap Pack of 4,Household,10,443.41,4434.1,upi,5
1282,08-04-2024,Arun Murugan,erode,Murukku 250g,Snacks,7,403.23,2822.61,CASH,
1250,13/04/24,Manoj Raj,,Salt 1kg,Grocery,2,124.27,248.54, UPI,4
1380,2024-02-07,Divya Krishnan,Trichy,Sugar 1kg,Grocery,4,158.63,634.52,CARD,4
1057,05/22/2024,Kavya Nair,Coimbatore ,Phenyl 1L,Household,1,581.67,581.67,upi,4
1081,12/29/2024,Raja Pillai,erode,Murukku 250g,Snacks,9,391.08,3519.72,Net banking,1
1006,05/14/2024,Swathi Reddy,vellore,Tea Powder 250g,Beverages,9,519.25,5704.74,CARD,5
1118,2024-01-19,Ramesh Sundaram,vellore,Murukku 250g,Snacks,3,434.84,1304.52,Net banking,4
1136,30-03-2024,Bala Raj,tirunelveli,Curd 500g,Dairy,7,443.38,3103.66,Cash ,2
1319,02/12/24,Kavya Pillai,Coimbatore ,Biscuit Pack,Snacks,1,403.52,403.52,Cash,5
1197,05/28/2024,Bala Nair,Chenai,Wheat Flour 5kg,Grocery,4,545.66,2182.64,Net banking,3
1337,09-09-2024,  Arun Murugan  ,Erode,Coffee Powder 200g,Beverages,3,40.8,122.4,Net Banking,
1053,2024-03-30,Karthik Sundaram,MADURAI,Paneer 200g,Dairy,3,592.77,1778.31,Cash,
1275,09/29/2024,Divya Reddy,vellore,Butter 100g,Dairy,3,142.3,426.9,Card,1
1390,2024-11-23,Bala Sharma,madurai,Sunflower Oil 1L,Grocery,10,522.83,5228.3,Net Banking,3
1329,16/06/24,Sangeetha Reddy,Salem,Tea Powder 250g,Beverages,6,436.08,2616.48,Upi,
1119,10/24/2024,Kavya Murugan,coimbatore,Detergent 1kg,Household,1,346.67,346.67,card,
1281,19-11-2024,Anitha Nair,erode,Detergent 1kg,Household,2,333.27,969.25,Net Banking,3
1058,20/04/24,Deepa Sundaram,Salem,Detergent 1kg,Household,5,554.49,2772.45,,2
1335,2024-02-15,Vijay Iyer,Chennai,Namkeen 200g,Snacks,5,586.96,2934.8,cash,5
1302,19/09/24,  Suresh Pillai  ,erode,Coffee Powder 200g,Beverages,4,358.39,1433.56,Card,
1185,27/11/24,Meena Sundaram,Salem,Sunflower Oil 1L,Grocery,1,420.55,420.55,CASH,4
1347,09/11/24,Divya Krishnan,,Tea Powder 250g,Beverages,7,49.53,391.92,netbanking,3
1068,04/29/2024,Deepa Murugan,Vellore,Dishwash Liquid 500ml,Household,10,489.25,4892.5,netbanking,4
1274,02/13/2024,Lakshmi Sharma,Salem,Mixture 500g,Snacks,10,448.6,4486.0,Upi,4
1123,08/02/2024,Kavya Reddy,Combatore,Soap Pack of 4,Household,5,552.84,2764.2,Card,4
1224,08/01/24,Swathi Reddy,SALEM,Soap Pack of 4,Household,1,₹108.25,108.25,,5
1177,09-06-2024,Swathi Nair,Erode,Soap Pack of 4,Household,10,36.71,367.1,,4
1245,03/15/2024,Swathi Pillai,vellore,Dishwash Liquid 500ml,Household,3,139.92,419.76,upi,5
1111,22-07-2024,Divya Krishnan,Coimbatore,Soft Drink 1.5L,Beverages,10,295.79,1698.86,cash,
1295,04/14/2024,Priya Iyer,Trunelveli,Wheat Flour 5kg,Grocery,6,535.03,3210.18,CASH,5
1059,19-09-2024,Senthil Sharma,tirunelveli,Banana Chips 200g,Snacks,1,₹110.24,110.24,CASH,4
1179,22/02/24,Priya Iyer,tirunelveli,Banana Chips 200g,Snacks,7,253.9,1777.3,Net Banking,4
1399,02/22/2024,Senthil Kumar,Chennai ,Banana Chips 200g,Snacks,8,147.66,1181.28,Card,2
1344,2024-02-10,Priya Raj,madurai,Coffee Powder 200g,Beverages,5,202.09,1010.45,Net banking,5
